,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,PLTR210122C00014500,2020-12-30 17:51:58,14.5,11.45,11.4,11.65,0.65999985,6.1167736,1,1,1.3750031249999999,True,REGULAR,USD
1,PLTR210122C00015000,2021-01-07 16:55:09,15.0,10.91,10.9,11.15,-0.119999886,-1.0879409,4,24,1.3125034374999998,True,REGULAR,USD
2,PLTR210122C00015500,2021-01-08 17:04:01,15.5,10.35,10.4,10.65,0.0,0.0,1,1,1.21875390625,True,REGULAR,USD
3,PLTR210122C00016000,2021-01-08 14:32:20,16.0,9.3,9.9,10.15,0.0,0.0,11,6,1.15625421875,True,REGULAR,USD
4,PLTR210122C00016500,2021-01-08 14:58:22,16.5,9.5,9.5,9.65,0.0,0.0,1,7,1.09375453125,True,REGULAR,USD
5,PLTR210122C00017000,2021-01-07 20:55:26,17.0,7.9,8.9,9.15,0.0,0.0,19,0,1.0312548437500002,True,REGULAR,USD
6,PLTR210122C00017500,2021-01-12 14:30:04,17.5,8.8,8.45,8.6,0.75,9.31677,2,10,1.0000000000000003e-05,True,REGULAR,USD
7,PLTR210122C00018000,2021-01-12 14:36:01,18.0,7.95,8.0,8.05,0.19999981,2.5806427,1,30,1.0000000000000003e-05,True,REGULAR,USD
8,PLTR210122C00018500,2021-01-12 15:42:28,18.5,7.5,7.45,7.6,1.25,20.0,2,7,1.0000000000000003e-05,True,REGULAR,USD
9,PLTR210122C00019000,2021-01-12 14:41:13,19.0,7.1,7.0,7.15,0.28999996,4.258443,2,63,0.7812521875,True,REGULAR,USD
10,PLTR210122C00019500,2021-01-11 20:08:13,19.5,6.3,6.45,6.6,0.0,0.0,11,71,1.0000000000000003e-05,True,REGULAR,USD
11,PLTR210122C00020000,2021-01-12 14:38:52,20.0,6.35,6.0,6.1,0.55999994,9.671846,1,194,1.0000000000000003e-05,True,REGULAR,USD
12,PLTR210122C00020500,2021-01-11 17:49:08,20.5,5.5,5.55,5.65,0.0,0.0,14,45,0.6250037500000001,True,REGULAR,USD
13,PLTR210122C00021000,2021-01-12 15:55:01,21.0,5.15,5.0,5.15,0.28999996,5.9670773,6,382,0.5625043750000001,True,REGULAR,USD
14,PLTR210122C00021500,2021-01-12 15:52:58,21.5,4.65,4.5,4.65,0.1500001,3.3333354,2,121,0.51562984375,True,REGULAR,USD
15,PLTR210122C00022000,2021-01-12 15:35:49,22.0,4.0,4.1,4.15,0.099999905,2.5641,7,453,0.45313046875,True,REGULAR,USD
16,PLTR210122C00022500,2021-01-12 15:23:27,22.5,3.6,3.65,3.8,0.39999986,12.499995,16,112,0.6015664843750002,True,REGULAR,USD
17,PLTR210122C00023000,2021-01-12 14:40:40,23.0,3.1,3.1,3.25,0.049999952,1.6393427,9,268,0.5664105859375,True,REGULAR,USD
18,PLTR210122C00023500,2021-01-12 15:58:20,23.5,2.89,2.88,2.89,0.17000008,6.250003,32,345,0.6367223828125,True,REGULAR,USD
19,PLTR210122C00024000,2021-01-12 15:54:44,24.0,2.58,2.49,2.53,0.07999992,3.199997,265,1369,0.6523472265625001,True,REGULAR,USD
20,PLTR210122C00024500,2021-01-12 15:56:33,24.5,2.19,2.15,2.12,0.29000008,15.263162,317,644,0.6455113574218749,True,REGULAR,USD
21,PLTR210122C00025000,2021-01-12 15:56:16,25.0,1.88,1.82,1.84,-0.01999998,-1.0526305,337,2487,0.6630893066406252,True,REGULAR,USD
22,PLTR210122C00025500,2021-01-12 15:57:55,25.5,1.62,1.59,1.61,0.01999998,1.2499988,351,1047,0.702151416015625,True,REGULAR,USD
23,PLTR210122C00026000,2021-01-12 15:58:52,26.0,1.39,1.37,1.38,-0.00999999,-0.714285,947,3398,0.7226590234375,True,REGULAR,USD
24,PLTR210122C00026500,2021-01-12 15:57:57,26.5,1.17,1.17,1.18,0.00999999,0.8620682,2795,4091,0.7392604199218749,False,REGULAR,USD
25,PLTR210122C00027000,2021-01-12 16:00:19,27.0,0.98,0.98,1.0,-0.049999952,-4.8543644,1064,5968,0.7490259472656251,False,REGULAR,USD
26,PLTR210122C00027500,2021-01-12 15:54:25,27.5,0.87,0.81,0.83,0.060000002,7.4074073,331,1752,0.75195560546875,False,REGULAR,USD
27,PLTR210122C00028000,2021-01-12 15:58:34,28.0,0.73,0.71,0.73,0.030000031,4.285719,585,3808,0.7832052929687501,False,REGULAR,USD
28,PLTR210122C00028500,2021-01-12 15:55:48,28.5,0.61,0.6,0.63,0.0,0.0,184,3177,0.799806689453125,False,REGULAR,USD
29,PLTR210122C00030000,2021-01-12 16:01:02,30.0,0.36,0.37,0.38,-0.03999999,-9.999998,2107,11987,0.8378922460937499,False,REGULAR,USD
30,PLTR210122C00031000,2021-01-12 15:52:24,31.0,0.27,0.27,0.28,-0.01999998,-6.8965454,191,1545,0.867188828125,False,REGULAR,USD
31,PLTR210122C00031500,2021-01-12 15:58:28,31.5,0.25,0.23,0.24,0.040000007,19.047623,49,327,0.8789074609374999,False,REGULAR,USD
32,PLTR210122C00032000,2021-01-12 15:39:06,32.0,0.2,0.2,0.21,-0.00999999,-4.7619004,114,1840,0.8964854101562498,False,REGULAR,USD
33,PLTR210122C00032500,2021-01-12 15:37:25,32.5,0.17,0.17,0.18,-0.010000005,-5.555558,28,292,0.9082040429687499,False,REGULAR,USD
34,PLTR210122C00033000,2021-01-12 15:55:20,33.0,0.16,0.15,0.15,0.00999999,6.66666,60,1259,0.9179695703125,False,REGULAR,USD
35,PLTR210122C00033500,2021-01-12 15:20:19,33.5,0.13,0.12,0.14,0.009999998,8.333331,121,584,0.9335944140625,False,REGULAR,USD
36,PLTR210122C00035000,2021-01-12 15:59:17,35.0,0.1,0.09,0.1,0.009999998,11.111108,91,1491,0.9882813671875,False,REGULAR,USD
37,PLTR210122C00036000,2021-01-12 14:33:34,36.0,0.09,0.07,0.08,0.030000005,50.00001,3,196,1.015629921875,False,REGULAR,USD
38,PLTR210122C00040000,2021-01-12 15:56:57,40.0,0.04,0.03,0.03,0.0,0.0,211,3289,1.109379453125,False,REGULAR,USD
